sector,sector_label,scenario,trend_window,imports_2022_mtco2e,exports_2022_mtco2e,net_imports_2022_mtco2e,imports_2030_mtco2e,exports_2030_mtco2e,net_imports_2030_mtco2e,change_in_net_balance_mtco2e,imports_annual_rate_pct,exports_annual_rate_pct
C19,Coke and refined petroleum,Long-run (2008–2022),2008–2022,133.48499999999999,46.371,87.11399999999998,141.6017191128716,39.17784073442466,102.42387837844693,15.309878378446953,0.7405940554739976,-2.08499411665245
C19,Coke and refined petroleum,Middle-period (2013–2022),2013–2022,133.48499999999999,46.371,87.11399999999998,155.84507889307477,36.052737655062764,119.792341238012,32.678341238012024,1.9547768461136927,-3.0971671568438164
C19,Coke and refined petroleum,Recent (2018–2022),2018–2022,133.48499999999999,46.371,87.11399999999998,237.07066469962328,27.676153880810755,209.39451081881253,122.28051081881256,7.443629091592241,-6.247596723516391
C20,Chemicals,Long-run (2008–2022),2008–2022,139.34,97.045,42.295,139.29881562900084,95.84035452814169,43.458461100859154,1.163461100859152,-0.003695071189691035,-0.1560151062713011
C20,Chemicals,Middle-period (2013–2022),2013–2022,139.34,97.045,42.295,169.83235477522015,96.29019929942122,73.54215547579894,31.247155475798934,2.504534594983876,-0.09755547641776552
C20,Chemicals,Recent (2018–2022),2018–2022,139.34,97.045,42.295,234.28026974332334,113.59508200379851,120.68518773952484,78.39018773952483,6.710582022836342,1.9878169080680852
C23,Other non-metallic mineral products,Long-run (2008–2022),2008–2022,51.412,29.483,21.929,71.45639485054201,31.079151697708973,40.37724315283304,18.44824315283304,4.201045216306887,0.6612190256646278
C23,Other non-metallic mineral products,Middle-period (2013–2022),2013–2022,51.412,29.483,21.929,93.53810546660499,29.75336786553112,63.78473760107387,41.85573760107387,7.768170150379139,0.11417143973737609
C23,Other non-metallic mineral products,Recent (2018–2022),2018–2022,51.412,29.483,21.929,102.99947813566634,31.24779136366063,71.75168677200571,49.82268677200571,9.07401899957161,0.7293326601509387
