sector,year,production_eur,product_rows,confidential_product_rows,estimated_or_revised_rows,ppi_2020,production_million_2020_eur,domestic_emissions_mt,extra_eu_import_million_2020_eur,extra_eu_embodied_import_carbon_mtco2e,production_million_2020_eur_yoy_pct,production_million_2020_eur_index_2008_100,domestic_emissions_mt_yoy_pct,domestic_emissions_mt_index_2008_100,extra_eu_import_million_2020_eur_yoy_pct,extra_eu_import_million_2020_eur_index_2008_100,extra_eu_embodied_import_carbon_mtco2e_yoy_pct,extra_eu_embodied_import_carbon_mtco2e_index_2008_100
C17,2008,143255161839.0,105.0,0.0,0.0,93.56719899515524,153104.04006688017,39.63763622,13435.63433850337,,,100.0,,100.0,,100.0,,
C17,2009,118999054046.0,105.0,0.0,0.0,89.22483402117352,133369.87997955916,36.40735342,11869.298964646729,,-12.889379064524075,87.11062093547592,-8.149534402281267,91.85046559771874,-11.658067899093483,88.34193210090652,,
C17,2010,134785298753.0,104.0,0.0,0.0,93.17243854297507,144662.1993164119,38.76238119,13733.639044709278,,8.466918721516015,94.48620640789058,6.468549753760144,97.79185866396753,15.707246785303619,102.21801739090127,,
C17,2011,141626255991.0,104.0,0.0,0.0,98.21460613673067,144200.80837450313,36.450988169999995,13325.824208709282,,-0.3189436798894385,94.18484862418532,-5.962979953863878,91.96054973532425,-2.9694594030931776,99.18269486183173,,
C17,2012,139358661186.0,104.0,0.0,0.0,97.53274717387401,142883.9699732459,35.24507976,12423.283848972256,,-0.9131976554786592,93.32475479473314,-3.3083010105950494,88.91821793908174,-6.772867070744926,92.46518278165732,,
C17,2013,142390939845.0,104.0,0.0,0.0,97.41611340391171,146167.74871176737,35.12870186,11773.210271739837,,2.2982135358755373,95.46955694174835,-0.3301961601235526,88.62461339779661,-5.23270324606,87.62675416076621,,
C17,2014,138329338963.0,104.0,0.0,0.0,97.57760631616723,141763.4067746964,33.59276588,11957.978182594696,,-3.013210489925533,92.59285823729415,-4.372310670975644,84.74966996909384,1.5693927704525157,89.00196210554748,,
C17,2015,140707705744.0,104.0,0.0,0.0,98.19666247981337,143291.739444735,33.81523061,13036.29824786907,,1.0780868665688725,93.59108968133114,0.6622399917728838,85.31091617652471,9.01757846358937,97.0277838725493,,
C17,2016,142934203390.0,104.0,0.0,0.0,98.106944195227,145692.2387731998,34.18220223,12750.372441512203,,1.675253114915698,95.15897732650119,1.085225838712689,86.23673228211489,-2.1933051923202607,94.8996684508794,,
C17,2017,147410740347.0,104.0,0.0,0.0,99.28225372330878,148476.42435456914,34.10093202,12998.125537969961,,1.9110047349217618,96.97746988891373,-0.2377559217898284,86.03169934435611,1.9431047806190538,96.74366844534008,,
C17,2018,153904765597.0,104.0,0.0,0.0,104.3333931455231,147512.47031938785,33.31937905,13452.93007720521,,-0.6492303672934074,96.34786270496208,-2.291881551922459,84.05995469827742,3.4990009744611195,100.12873034697196,,
C17,2019,156056355670.0,106.0,0.0,0.0,103.63359052574914,150584.72342635444,33.87551721,12933.660347651981,,2.082707380816462,98.35450675277725,1.6691132183629165,85.46301051349626,-3.85990060583965,96.26386087768964,,
C17,2020,141698936611.0,106.0,0.0,0.0,100.0,141698.936611,31.13942752,11818.114602,,-5.900855420902074,92.55074950935449,-8.076894215484653,78.56025356095265,-8.625135620284796,87.96097232366662,,
C17,2021,162962372254.0,106.0,0.0,0.0,107.65296967521982,151377.49822010865,32.24613231,12819.092789168235,,6.830369966486605,98.8723081075997,3.55403062336066,81.35230903029868,8.469863602429761,95.4111467028522,,
C17,2022,201608529830.0,106.0,0.0,0.0,136.0039476045218,148237.2632419803,28.61109226,14236.515126678476,,-2.074439738436107,96.82126165790666,-11.27279394333044,72.18163086517171,11.057118946107657,105.96087068163183,,
C19,2008,296292156.0,1.0,0.0,0.0,125.63640459562966,235.8330429413663,155.03669547,317320.3390093544,102.077,,100.0,,100.0,,100.0,,100.0
C19,2009,290325109.0,1.0,0.0,0.0,95.14530299617032,305.1386667103113,147.73324409999998,281444.9112522955,75.466,29.38757983383018,129.3875798338302,-4.710788854122128,95.28921114587787,-11.305744809506635,88.69425519049337,-26.06953574262567,73.93046425737433
