prodcom_code,sector,product_label,cn8_codes,official_units,n_cn8_codes,all_cn8_unique_to_product,quantity_years,quantity_valid_years,quantity_units,confidential_flag_years,label_variants,one_cn_or_grouped_cn8,official_kg_unit,annual_kg_stable,complete_15y_quantity,no_confidential_quantity_flags,eligible_strict_match,cn8_codes_joined,official_units_joined
20132580,C20,Hydrazine and hydroxylamine and their inorganic salts,['28251000'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,28251000,KG
20133110,C20,Fluorides; fluorosilicates; fluoroaluminates and other complex fluorine salts,[],[],0,,11,11,['KG_F'],0,1,False,False,False,False,True,False,,
20133130,C20,Chlorides (excluding ammonium chloride),[],[],0,,11,11,['KG'],0,1,False,False,True,False,True,False,,
20133150,C20,Chloride oxides and chloride hydroxides of copper and other metals,"['28274100', '28274910', '28274990']",['KG'],3,True,15,15,['KG'],0,1,True,True,True,True,True,True,28274100|28274910|28274990,KG
20133170,C20,Bromides and bromide oxides; iodides and iodide oxides,[],[],0,,11,11,['KG'],0,1,False,False,True,False,True,False,,
20133230,C20,Hypochlorites; commercial calcium hypochlorite; chlorites; hypobromites,"['28281000', '28289000']",['KG'],2,True,15,15,"['KG', 'KG_CL']",0,1,True,True,False,True,True,False,28281000|28289000,KG
20133250,C20,Chlorates and perchlorates; bromates and perbromates; iodates and periodates,[],[],0,,14,14,['KG'],0,1,False,False,True,False,True,False,,
20134110,C20,"Sulphides; polysulphides, whether or not chemically defined; dithionites and sulphoxylates",[],[],0,,11,11,['KG'],0,1,False,False,True,False,True,False,,
20134133,C20,Sulphites,"['28321000', '28322000']",['KG'],2,True,15,15,"['KG', 'KG_NA2S2O5']",0,1,True,True,False,True,True,False,28321000|28322000,KG
20134135,C20,Thiosulphates,['28323000'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,28323000,KG
20134151,C20,Sulphates of barium or aluminium,[],[],0,,11,11,['KG'],0,1,False,False,True,False,True,False,,
20134157,C20,Sulphates (excluding those of aluminium and barium),[],[],0,,11,11,['KG'],0,1,False,False,True,False,True,False,,
20134173,C20,Alums,['28333000'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,28333000,KG
20134175,C20,Peroxosulphates (persulphates),['28334000'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,28334000,KG
20134210,C20,Nitrates (excluding those of potassium),[],[],0,,11,11,['KG_N'],0,1,False,False,False,False,True,False,,
20134230,C20,Phosphates of mono- or di-sodium,['28352200'],['KG_P2O5'],1,True,15,15,['KG_P2O5'],0,1,True,False,False,True,True,False,28352200,KG_P2O5
20134240,C20,Calcium hydrogenorthophosphate (dicalcium phosphate),['28352500'],['KG_P2O5'],1,True,15,15,['KG_P2O5'],0,1,True,False,False,True,True,False,28352500,KG_P2O5
20134270,C20,Sodium triphosphate (sodium tripolyphosphate),['28353100'],['KG_P2O5'],1,True,15,15,['KG_P2O5'],0,1,True,False,False,True,True,False,28353100,KG_P2O5
20134280,C20,Phosphates (excluding calcium hydrogenorthophosphate and mono- or disodium phosphate); polyphosphates (excluding sodium triphosphate),[],[],0,,14,14,['KG'],0,1,False,False,True,False,True,False,,
20134310,C20,Disodium carbonate,['28362000'],['KG_NA2CO3'],1,True,15,15,['KG_NA2CO3'],0,1,True,False,False,True,True,False,28362000,KG_NA2CO3
20134320,C20,Sodium hydrogencarbonate (sodium bicarbonate),['28363000'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,28363000,KG
20134340,C20,Calcium carbonate,['28365000'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,28365000,KG
