prodcom_code,sector,product_label,year,extra_eu_import_cn8_components,extra_eu_import_components_reported,extra_eu_import_quantity_100kg,extra_eu_import_kg
17121410,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight < 40 g/m²",2019,1,1,74570.12,7457012.0
17121410,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight < 40 g/m²",2020,1,1,33298.27,3329826.9999999995
17121410,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight < 40 g/m²",2021,1,1,31177.84,3117784.0
17121410,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight < 40 g/m²",2022,1,1,20056.27,2005627.0
17121435,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², in rolls",2008,4,4,886621.46,88662146.0
17121435,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², in rolls",2009,4,4,960502.9299999999,96050293.0
17121435,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², in rolls",2010,4,4,792075.45,79207545.0
17121435,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², in rolls",2011,4,4,800194.0900000001,80019409.00000001
17121435,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², in rolls",2012,4,4,846962.24,84696224.0
17121435,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², in rolls",2013,4,4,1040254.8300000001,104025483.0
17121435,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², in rolls",2014,4,4,1301108.88,130110887.99999999
17121435,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², in rolls",2015,4,4,1245926.3800000001,124592638.00000001
17121435,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², in rolls",2016,4,4,1109461.26,110946126.0
17121435,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², in rolls",2017,4,4,1142369.64,114236963.99999999
17121435,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², in rolls",2018,4,4,1240803.94,124080394.0
17121435,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², in rolls",2019,4,4,1193320.72,119332072.0
17121435,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², in rolls",2020,4,4,1251719.79,125171979.0
17121435,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², in rolls",2021,4,4,611304.7,61130469.99999999
17121435,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², in rolls",2022,4,4,844265.4700000001,84426547.00000001
17121439,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², sheets",2008,3,3,4425827.55,442582755.0
17121439,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², sheets",2009,3,3,3927545.5000000005,392754550.00000006
17121439,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², sheets",2010,3,3,3743285.21,374328521.0
17121439,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², sheets",2011,3,3,3215684.8599999994,321568485.99999994
17121439,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², sheets",2012,3,3,3038915.5300000003,303891553.0
17121439,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², sheets",2013,3,3,3662638.69,366263869.0
17121439,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², sheets",2014,3,3,2967720.93,296772093.0
