prodcom_code,sector,product,cn8_codes,cn8_component_count,production_years_observed,extra_eu_import_years_observed,production_change_2008_2022_pct,extra_eu_import_change_2008_2022_pct,extra_eu_import_increase_tonnes,import_share_2008_pct,import_share_2022_pct,endpoint_pattern,clear_production_down_trend,clear_import_up_trend,both_clear_expected_trends
17121100,C17,Newsprint in rolls or sheets,48010000,1,15,15,-57.64358499952645,-34.00929405692473,-422628.94,12.755983801370313,18.553098694192148,Output down; imports not up,True,False,False
17121200,C17,Handmade paper and paperboard,48021000,1,15,15,-86.11423926443238,22.423062055142285,667.646,3.330646776684053,23.29887940301984,Output down; imports up,True,False,False
17121300,C17,"Paper and paperboard used as a base for photo-sensitive, heat-sensitive or electro-sensitive paper; carbonising base paper; wallpaper base",48022000|48024010|48024090,3,15,15,-50.249998872807126,-88.69438513715588,-31741.692,4.840721921797164,1.1427952187040678,Output down; imports not up,False,False,False
17121410,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight < 40 g/m²",48025400,1,15,15,-10.646900006898385,-60.20483440465598,-3034.249,5.015673369721744,2.297748866532856,Output down; imports not up,False,False,False
17121435,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², in rolls",48025515|48025525|48025530|48025590,4,15,15,-11.088561661548313,-4.777234920526274,-4235.598999999985,2.3330789313471834,2.4945598856277975,Output down; imports not up,False,False,False
17121439,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², sheets",48025620|48025680|48025700,3,15,15,-27.91899062305664,-21.531360389312958,-95294.088,7.386357465527466,7.988626787916037,Output down; imports not up,True,False,False
17121450,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight > 150 g/m²",48025810|48025890,2,15,15,-40.21331691440933,-54.66233113868984,-26843.606,3.5836623138981185,2.7413188416772036,Output down; imports not up,True,False,False
17121470,C17,"Graphic paper, paperboard : mechanical fibres > 10 %",48026115|48026180|48026200|48026900,4,15,15,-60.0,-13.214746237213637,-56410.23999999994,6.642007671616466,13.371886256134504,Output down; imports not up,True,False,False
17122030,C17,"Cellulose wadding for household or sanitary purposes, in rolls of a width > 36 cm or in rectangular (including square sheets) with at least one side > 36 cm in an unfolded state",48030010,1,15,15,-0.44728239597746633,-34.66482389746906,-3975.197,1.4069513693107907,0.9278511695381101,Output down; imports not up,False,False,False
17122055,C17,"Creped paper and webs of cellulose fibres for household/ sanitary purposes, in rolls, width > 36 cm, rectangular sheets min. one side > 36 cm in unfolded state, weight <= 25 g/m²/ply",48030031,1,15,15,50.14384886320036,174.49173958386822,92402.769,11.004016972225326,18.4371910532601,Imports up; output not down,False,True,False
