year,sector,prodcom_code,product_label,indicator,value,quantity_kg_candidate,prodcom_unit,quantity_flag,cn8_codes_joined,extra_eu_import_cn8_components,extra_eu_import_components_reported,extra_eu_import_quantity_100kg,extra_eu_import_kg,production_kg,production_confidential,extra_eu_import_share_prod_plus_import_pct
2008,C17,17121100,Newsprint in rolls or sheets,PRODQNT,8499302880,8499302880,KG,:E,48010000,1,1,12426866.0,1242686600.0,8499302880,False,12.755983801370313
2009,C17,17121100,Newsprint in rolls or sheets,PRODQNT,7895615964,7895615964,KG,,48010000,1,1,12696498.04,1269649804.0,7895615964,False,13.85284219943637
2010,C17,17121100,Newsprint in rolls or sheets,PRODQNT,8371671644,8371671644,KG,,48010000,1,1,11454534.14,1145453414.0,8371671644,False,12.035708336491211
2011,C17,17121100,Newsprint in rolls or sheets,PRODQNT,8235367732,8235367732,KG,:R,48010000,1,1,12257041.6,1225704160.0,8235367732,False,12.95523566453838
2012,C17,17121100,Newsprint in rolls or sheets,PRODQNT,7542438278,7542438278,KG,,48010000,1,1,10910123.58,1091012358.0,7542438278,False,12.637037078206792
2013,C17,17121100,Newsprint in rolls or sheets,PRODQNT,6961733923,6961733923,KG,,48010000,1,1,10055848.43,1005584843.0,6961733923,False,12.62137078399908
2014,C17,17121100,Newsprint in rolls or sheets,PRODQNT,6481454684,6481454684,KG,,48010000,1,1,10632254.89,1063225489.0,6481454684,False,14.092386484518514
2015,C17,17121100,Newsprint in rolls or sheets,PRODQNT,6514971066,6514971066,KG,:R,48010000,1,1,9130503.43,913050343.0,6514971066,False,12.291972420727308
2016,C17,17121100,Newsprint in rolls or sheets,PRODQNT,6430433579,6430433579,KG,,48010000,1,1,9133792.05,913379205.0000001,6430433579,False,12.437397736908324
2017,C17,17121100,Newsprint in rolls or sheets,PRODQNT,5925260835,5925260835,KG,:R,48010000,1,1,8893298.78,889329877.9999999,5925260835,False,13.050378451980258
2018,C17,17121100,Newsprint in rolls or sheets,PRODQNT,5597169534,5597169534,KG,:R,48010000,1,1,7646844.8,764684480.0,5597169534,False,12.019836958176388
2019,C17,17121100,Newsprint in rolls or sheets,PRODQNT,5532297691,5532297691,KG,:R,48010000,1,1,7347306.13,734730613.0,5532297691,False,11.723748120477612
2020,C17,17121100,Newsprint in rolls or sheets,PRODQNT,4305281598,4305281598,KG,,48010000,1,1,5599161.07,559916107.0,4305281598,False,11.508599258455007
2021,C17,17121100,Newsprint in rolls or sheets,PRODQNT,3900000000,3900000000,KG,:R,48010000,1,1,6875823.66,687582366.0,3900000000,False,14.987902366525052
2022,C17,17121100,Newsprint in rolls or sheets,PRODQNT,3600000000,3600000000,KG,:R,48010000,1,1,8200576.6,820057660.0,3600000000,False,18.553098694192148
2008,C17,17121200,Handmade paper and paperboard,PRODQNT,86419464,86419464,KG,,48021000,1,1,29774.97,2977497.0,86419464,False,3.330646776684053
2009,C17,17121200,Handmade paper and paperboard,PRODQNT,90000000,90000000,KG,:R,48021000,1,1,21137.19,2113719.0,90000000,False,2.2946842478480325
2010,C17,17121200,Handmade paper and paperboard,PRODQNT,88000000,88000000,KG,:R,48021000,1,1,20916.45,2091645.0,88000000,False,2.321685878862574
2011,C17,17121200,Handmade paper and paperboard,PRODQNT,50000000,50000000,KG,:R,48021000,1,1,31026.78,3102678.0,50000000,False,5.842790075483576
2012,C17,17121200,Handmade paper and paperboard,PRODQNT,64000000,64000000,KG,:R,48021000,1,1,29970.62,2997062.0,64000000,False,4.4734230286098216
2013,C17,17121200,Handmade paper and paperboard,PRODQNT,40000000,40000000,KG,:R,48021000,1,1,22515.87,2251587.0,40000000,False,5.328999831414617
2014,C17,17121200,Handmade paper and paperboard,PRODQNT,50000000,50000000,KG,:R,48021000,1,1,10704.89,1070489.0,50000000,False,2.0961009400164543
2015,C17,17121200,Handmade paper and paperboard,PRODQNT,42000000,42000000,KG,:R,48021000,1,1,13428.76,1342876.0,42000000,False,3.098262330353897
2016,C17,17121200,Handmade paper and paperboard,PRODQNT,31373652,31373652,KG,:R,48021000,1,1,11961.11,1196111.0,31373652,False,3.672458408739419
2017,C17,17121200,Handmade paper and paperboard,PRODQNT,43160000,43160000,KG,:R,48021000,1,1,11879.01,1187901.0,43160000,False,2.6785957693916562
2018,C17,17121200,Handmade paper and paperboard,PRODQNT,15000000,15000000,KG,:R,48021000,1,1,43040.53,4304053.0,15000000,False,22.29611056289578
2019,C17,17121200,Handmade paper and paperboard,PRODQNT,15000000,15000000,KG,:R,48021000,1,1,19940.05,1994005.0,15000000,False,11.733578988590388
2020,C17,17121200,Handmade paper and paperboard,PRODQNT,15000000,15000000,KG,:R,48021000,1,1,8310.43,831043.0,15000000,False,5.249451978622003
2021,C17,17121200,Handmade paper and paperboard,PRODQNT,18000000,18000000,KG,:R,48021000,1,1,51981.88,5198188.0,18000000,False,22.40773287982665
2022,C17,17121200,Handmade paper and paperboard,PRODQNT,12000000,12000000,KG,:R,48021000,1,1,36451.43,3645143.0,12000000,False,23.29887940301984
2008,C17,17121300,"Paper and paperboard used as a base for photo-sensitive, heat-sensitive or electro-sensitive paper; carbonising base paper; wallpaper base",PRODQNT,703517572,703517572,KG,,48022000|48024010|48024090,3,3,357877.13,35787713.0,703517572,False,4.840721921797164
2009,C17,17121300,"Paper and paperboard used as a base for photo-sensitive, heat-sensitive or electro-sensitive paper; carbonising base paper; wallpaper base",PRODQNT,542504982,542504982,KG,,48022000|48024010|48024090,3,3,404632.0,40463200.0,542504982,False,6.940893388243271
2010,C17,17121300,"Paper and paperboard used as a base for photo-sensitive, heat-sensitive or electro-sensitive paper; carbonising base paper; wallpaper base",PRODQNT,591602784,591602784,KG,,48022000|48024010|48024090,3,3,380651.2,38065120.0,591602784,False,6.04526922178965
2011,C17,17121300,"Paper and paperboard used as a base for photo-sensitive, heat-sensitive or electro-sensitive paper; carbonising base paper; wallpaper base",PRODQNT,587558999,587558999,KG,,48022000|48024010|48024090,3,3,256076.40999999997,25607640.999999996,587558999,False,4.1762939027472195
2012,C17,17121300,"Paper and paperboard used as a base for photo-sensitive, heat-sensitive or electro-sensitive paper; carbonising base paper; wallpaper base",PRODQNT,644618190,644618190,KG,,48022000|48024010|48024090,3,3,267277.52999999997,26727752.999999996,644618190,False,3.981219113437019
2013,C17,17121300,"Paper and paperboard used as a base for photo-sensitive, heat-sensitive or electro-sensitive paper; carbonising base paper; wallpaper base",PRODQNT,669347394,669347394,KG,,48022000|48024010|48024090,3,3,169680.97999999998,16968098.0,669347394,False,2.472346639087669
2014,C17,17121300,"Paper and paperboard used as a base for photo-sensitive, heat-sensitive or electro-sensitive paper; carbonising base paper; wallpaper base",PRODQNT,753469512,753469512,KG,,48022000|48024010|48024090,3,3,274170.51999999996,27417051.999999996,753469512,False,3.5110159738899025
2015,C17,17121300,"Paper and paperboard used as a base for photo-sensitive, heat-sensitive or electro-sensitive paper; carbonising base paper; wallpaper base",PRODQNT,616081584,616081584,KG,,48022000|48024010|48024090,3,3,269423.87,26942387.0,616081584,False,4.189950641824518
2016,C17,17121300,"Paper and paperboard used as a base for photo-sensitive, heat-sensitive or electro-sensitive paper; carbonising base paper; wallpaper base",PRODQNT,608541623,608541623,KG,:E,48022000|48024010|48024090,3,3,277707.32,27770732.0,608541623,False,4.364323870467673
2017,C17,17121300,"Paper and paperboard used as a base for photo-sensitive, heat-sensitive or electro-sensitive paper; carbonising base paper; wallpaper base",PRODQNT,596079373,596079373,KG,,48022000|48024010|48024090,3,3,181775.77999999997,18177577.999999996,596079373,False,2.959279169801368
2018,C17,17121300,"Paper and paperboard used as a base for photo-sensitive, heat-sensitive or electro-sensitive paper; carbonising base paper; wallpaper base",PRODQNT,619889175,619889175,KG,,48022000|48024010|48024090,3,3,26782.03,2678203.0,619889175,False,0.43018685119733335
2019,C17,17121300,"Paper and paperboard used as a base for photo-sensitive, heat-sensitive or electro-sensitive paper; carbonising base paper; wallpaper base",PRODQNT,569287840,569287840,KG,,48022000|48024010|48024090,3,3,26645.05,2664505.0,569287840,False,0.46586136472611195
2020,C17,17121300,"Paper and paperboard used as a base for photo-sensitive, heat-sensitive or electro-sensitive paper; carbonising base paper; wallpaper base",PRODQNT,465886501,465886501,KG,,48022000|48024010|48024090,3,3,22789.949999999997,2278994.9999999995,465886501,False,0.48679260207591196
2021,C17,17121300,"Paper and paperboard used as a base for photo-sensitive, heat-sensitive or electro-sensitive paper; carbonising base paper; wallpaper base",PRODQNT,490000000,490000000,KG,:R,48022000|48024010|48024090,3,3,7392.0599999999995,739206.0,490000000,False,0.15063112768699388
2022,C17,17121300,"Paper and paperboard used as a base for photo-sensitive, heat-sensitive or electro-sensitive paper; carbonising base paper; wallpaper base",PRODQNT,350000000,350000000,KG,:R,48022000|48024010|48024090,3,3,40460.21,4046021.0,350000000,False,1.1427952187040678
2008,C17,17121410,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight < 40 g/m²",PRODQNT,95442664,95442664,KG,,48025400,1,1,50398.76,5039876.0,95442664,False,5.015673369721744
2009,C17,17121410,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight < 40 g/m²",PRODQNT,99053617,99053617,KG,,48025400,1,1,56352.53,5635253.0,99053617,False,5.382857795675892
2010,C17,17121410,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight < 40 g/m²",PRODQNT,115226980,115226980,KG,,48025400,1,1,49850.58,4985058.0,115226980,False,4.146887518868951
2011,C17,17121410,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight < 40 g/m²",PRODQNT,89988341,89988341,KG,,48025400,1,1,71402.05,7140205.0,89988341,False,7.35129402637202
2012,C17,17121410,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight < 40 g/m²",PRODQNT,94261540,94261540,KG,,48025400,1,1,77875.24,7787524.000000001,94261540,False,7.631156714969969
2013,C17,17121410,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight < 40 g/m²",PRODQNT,84627043,84627043,KG,,48025400,1,1,71978.95,7197895.0,84627043,False,7.8387147944494115
2014,C17,17121410,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight < 40 g/m²",PRODQNT,77515726,77515726,KG,,48025400,1,1,62712.09,6271209.0,77515726,False,7.484709877500591
2015,C17,17121410,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight < 40 g/m²",PRODQNT,90549644,90549644,KG,,48025400,1,1,50573.8,5057380.0,90549644,False,5.289757790180771
2016,C17,17121410,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight < 40 g/m²",PRODQNT,87579406,87579406,KG,,48025400,1,1,43077.76,4307776.0,87579406,False,4.688114170265881
2017,C17,17121410,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight < 40 g/m²",PRODQNT,95067764,95067764,KG,,48025400,1,1,60532.79,6053279.0,95067764,False,5.986171444058384
2018,C17,17121410,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight < 40 g/m²",PRODQNT,87203562,87203562,KG,,48025400,1,1,67710.96,6771096.000000001,87203562,False,7.205236118018116
2019,C17,17121410,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight < 40 g/m²",PRODQNT,85947897,85947897,KG,,48025400,1,1,74570.12,7457012.0,85947897,False,7.98353328517241
2020,C17,17121410,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight < 40 g/m²",PRODQNT,88645340,88645340,KG,,48025400,1,1,33298.27,3329826.9999999995,88645340,False,3.6203543941377125
2021,C17,17121410,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight < 40 g/m²",PRODQNT,91118139,91118139,KG,:E,48025400,1,1,31177.84,3117784.0,91118139,False,3.308487783368981
2022,C17,17121410,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight < 40 g/m²",PRODQNT,85280979,85280979,KG,:E,48025400,1,1,20056.27,2005627.0,85280979,False,2.297748866532856
2008,C17,17121435,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², in rolls",PRODQNT,3711558447,3711558447,KG,,48025515|48025525|48025530|48025590,4,4,886621.46,88662146.0,3711558447,False,2.3330789313471834
2009,C17,17121435,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², in rolls",PRODQNT,3460865436,3460865436,KG,:R,48025515|48025525|48025530|48025590,4,4,960502.9299999999,96050293.0,3460865436,False,2.700381462987424
2010,C17,17121435,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², in rolls",PRODQNT,3435646128,3435646128,KG,,48025515|48025525|48025530|48025590,4,4,792075.45,79207545.0,3435646128,False,2.2535090324939397
2011,C17,17121435,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², in rolls",PRODQNT,3329470031,3329470031,KG,,48025515|48025525|48025530|48025590,4,4,800194.0900000001,80019409.00000001,3329470031,False,2.3469616318858586
2012,C17,17121435,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², in rolls",PRODQNT,3139442884,3139442884,KG,,48025515|48025525|48025530|48025590,4,4,846962.24,84696224.0,3139442884,False,2.6269407479920686
2013,C17,17121435,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², in rolls",PRODQNT,3018942508,3018942508,KG,,48025515|48025525|48025530|48025590,4,4,1040254.8300000001,104025483.0,3018942508,False,3.3309814029406746
2014,C17,17121435,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², in rolls",PRODQNT,3173127902,3173127902,KG,,48025515|48025525|48025530|48025590,4,4,1301108.88,130110887.99999999,3173127902,False,3.938888353875258
2015,C17,17121435,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², in rolls",PRODQNT,3384971301,3384971301,KG,,48025515|48025525|48025530|48025590,4,4,1245926.3800000001,124592638.00000001,3384971301,False,3.550088847661824
2016,C17,17121435,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², in rolls",PRODQNT,3278451339,3278451339,KG,,48025515|48025525|48025530|48025590,4,4,1109461.26,110946126.0,3278451339,False,3.2733288776446288
2017,C17,17121435,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², in rolls",PRODQNT,3227486743,3227486743,KG,,48025515|48025525|48025530|48025590,4,4,1142369.64,114236963.99999999,3227486743,False,3.418504161810406
2018,C17,17121435,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², in rolls",PRODQNT,3426007883,3426007883,KG,,48025515|48025525|48025530|48025590,4,4,1240803.94,124080394.0,3426007883,False,3.4951354535007244
2019,C17,17121435,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², in rolls",PRODQNT,3909472177,3909472177,KG,:R,48025515|48025525|48025530|48025590,4,4,1193320.72,119332072.0,3909472177,False,2.9619724519904316
2020,C17,17121435,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², in rolls",PRODQNT,3372806292,3372806292,KG,,48025515|48025525|48025530|48025590,4,4,1251719.79,125171979.0,3372806292,False,3.5784092782319057
2021,C17,17121435,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², in rolls",PRODQNT,3960000000,3960000000,KG,:R,48025515|48025525|48025530|48025590,4,4,611304.7,61130469.99999999,3960000000,False,1.5202309513722392
2022,C17,17121435,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², in rolls",PRODQNT,3300000000,3300000000,KG,:R,48025515|48025525|48025530|48025590,4,4,844265.4700000001,84426547.00000001,3300000000,False,2.4945598856277975
2008,C17,17121439,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², sheets",PRODQNT,5549311857,5549311857,KG,,48025620|48025680|48025700,3,3,4425827.55,442582755.0,5549311857,False,7.386357465527466
2009,C17,17121439,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², sheets",PRODQNT,5427129760,5427129760,KG,,48025620|48025680|48025700,3,3,3927545.5000000005,392754550.00000006,5427129760,False,6.748494112248085
2010,C17,17121439,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², sheets",PRODQNT,5715401197,5715401197,KG,,48025620|48025680|48025700,3,3,3743285.21,374328521.0,5715401197,False,6.146882346741288
2011,C17,17121439,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², sheets",PRODQNT,5493387207,5493387207,KG,,48025620|48025680|48025700,3,3,3215684.8599999994,321568485.99999994,5493387207,False,5.530024697988699
2012,C17,17121439,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², sheets",PRODQNT,5332692321,5332692321,KG,,48025620|48025680|48025700,3,3,3038915.5300000003,303891553.0,5332692321,False,5.391413661061047
2013,C17,17121439,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², sheets",PRODQNT,5068243345,5068243345,KG,:E,48025620|48025680|48025700,3,3,3662638.69,366263869.0,5068243345,False,6.739596702649625
2014,C17,17121439,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², sheets",PRODQNT,5157756073,5157756073,KG,,48025620|48025680|48025700,3,3,2967720.93,296772093.0,5157756073,False,5.440838950101775
2015,C17,17121439,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², sheets",PRODQNT,5285824607,5285824607,KG,,48025620|48025680|48025700,3,3,3113106.7600000002,311310676.0,5285824607,False,5.561964473961063
2016,C17,17121439,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², sheets",PRODQNT,4950648480,4950648480,KG,,48025620|48025680|48025700,3,3,3524852.09,352485209.0,4950648480,False,6.646734358802623
2017,C17,17121439,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², sheets",PRODQNT,4972840535,4972840535,KG,,48025620|48025680|48025700,3,3,3263577.7300000004,326357773.00000006,4972840535,False,6.158625400134772
2018,C17,17121439,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², sheets",PRODQNT,4873200855,4873200855,KG,:E,48025620|48025680|48025700,3,3,3624700.67,362470067.0,4873200855,False,6.923087268088619
2019,C17,17121439,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², sheets",PRODQNT,4924934016,4924934016,KG,,48025620|48025680|48025700,3,3,3575044.64,357504464.0,4924934016,False,6.767792286716797
2020,C17,17121439,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², sheets",PRODQNT,3710011932,3710011932,KG,,48025620|48025680|48025700,3,3,3128931.3899999997,312893138.99999994,3710011932,False,7.777790762589931
2021,C17,17121439,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², sheets",PRODQNT,4500000000,4500000000,KG,:R,48025620|48025680|48025700,3,3,2323584.48,232358448.0,4500000000,False,4.909992566142149
2022,C17,17121439,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², sheets",PRODQNT,4000000000,4000000000,KG,:R,48025620|48025680|48025700,3,3,3472886.67,347288667.0,4000000000,False,7.988626787916037
2008,C17,17121450,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight > 150 g/m²",PRODQNT,1321223405,1321223405,KG,,48025810|48025890,2,2,491080.52,49108052.0,1321223405,False,3.5836623138981185
2009,C17,17121450,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight > 150 g/m²",PRODQNT,1007677324,1007677324,KG,,48025810|48025890,2,2,457657.0,45765700.0,1007677324,False,4.344392525969207
2010,C17,17121450,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight > 150 g/m²",PRODQNT,1102990733,1102990733,KG,,48025810|48025890,2,2,580413.86,58041386.0,1102990733,False,4.999119753034154
2011,C17,17121450,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight > 150 g/m²",PRODQNT,1083192276,1083192276,KG,,48025810|48025890,2,2,437142.80000000005,43714280.00000001,1083192276,False,3.87913973587709
2012,C17,17121450,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight > 150 g/m²",PRODQNT,1003698580,1003698580,KG,,48025810|48025890,2,2,388676.69,38867669.0,1003698580,False,3.728076660574881
2013,C17,17121450,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight > 150 g/m²",PRODQNT,995050217,995050217,KG,,48025810|48025890,2,2,359702.64999999997,35970265.0,995050217,False,3.488802174930992
2014,C17,17121450,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight > 150 g/m²",PRODQNT,982001705,982001705,KG,,48025810|48025890,2,2,383004.83,38300483.0,982001705,False,3.7538371916144513
2015,C17,17121450,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight > 150 g/m²",PRODQNT,1089397199,1089397199,KG,,48025810|48025890,2,2,310218.25,31021825.0,1089397199,False,2.7687699276337887
2016,C17,17121450,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight > 150 g/m²",PRODQNT,827217734,827217734,KG,,48025810|48025890,2,2,303026.42,30302642.0,827217734,False,3.5337518323879453
2017,C17,17121450,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight > 150 g/m²",PRODQNT,875276228,875276228,KG,,48025810|48025890,2,2,261952.59,26195259.0,875276228,False,2.90583333779918
2018,C17,17121450,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight > 150 g/m²",PRODQNT,825292266,825292266,KG,,48025810|48025890,2,2,245581.18,24558118.0,825292266,False,2.8896989943585174
2019,C17,17121450,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight > 150 g/m²",PRODQNT,831522921,831522921,KG,,48025810|48025890,2,2,209418.56,20941856.0,831522921,False,2.4566241990312756
2020,C17,17121450,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight > 150 g/m²",PRODQNT,755509112,755509112,KG,:E,48025810|48025890,2,2,200065.46,20006546.0,755509112,False,2.5797733151636764
2021,C17,17121450,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight > 150 g/m²",PRODQNT,870023301,870023301,KG,:E,48025810|48025890,2,2,187555.55000000002,18755555.0,870023301,False,2.110261160398262
2022,C17,17121450,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight > 150 g/m²",PRODQNT,789915650,789915650,KG,:E,48025810|48025890,2,2,222644.46,22264446.0,789915650,False,2.7413188416772036
2008,C17,17121470,"Graphic paper, paperboard : mechanical fibres > 10 %",PRODQNT,6000000000,6000000000,KG,:R,48026115|48026180|48026200|48026900,4,4,4268734.26,426873426.0,6000000000,False,6.642007671616466
2009,C17,17121470,"Graphic paper, paperboard : mechanical fibres > 10 %",PRODQNT,6000000000,6000000000,KG,:R,48026115|48026180|48026200|48026900,4,4,4288878.64,428887863.99999994,6000000000,False,6.67126061416709
2010,C17,17121470,"Graphic paper, paperboard : mechanical fibres > 10 %",PRODQNT,5960913000,5960913000,KG,:R,48026115|48026180|48026200|48026900,4,4,4198354.34,419835434.0,5960913000,False,6.579720832792826
2011,C17,17121470,"Graphic paper, paperboard : mechanical fibres > 10 %",PRODQNT,3987750000,3987750000,KG,:R,48026115|48026180|48026200|48026900,4,4,3375976.34,337597634.0,3987750000,False,7.805098284962498
2012,C17,17121470,"Graphic paper, paperboard : mechanical fibres > 10 %",PRODQNT,5431070346,5431070346,KG,,48026115|48026180|48026200|48026900,4,4,3633914.95,363391495.0,5431070346,False,6.271358841795158
2013,C17,17121470,"Graphic paper, paperboard : mechanical fibres > 10 %",PRODQNT,5234531359,5234531359,KG,,48026115|48026180|48026200|48026900,4,4,3251162.16,325116216.0,5234531359,False,5.8477846232906225
2014,C17,17121470,"Graphic paper, paperboard : mechanical fibres > 10 %",PRODQNT,4860081726,4860081726,KG,:R,48026115|48026180|48026200|48026900,4,4,2780155.6999999997,278015570.0,4860081726,False,5.41086620170534
2015,C17,17121470,"Graphic paper, paperboard : mechanical fibres > 10 %",PRODQNT,4505166376,4505166376,KG,:R,48026115|48026180|48026200|48026900,4,4,2729052.3800000004,272905238.00000006,4505166376,False,5.711618829662859
2016,C17,17121470,"Graphic paper, paperboard : mechanical fibres > 10 %",PRODQNT,4506360924,4506360924,KG,:R,48026115|48026180|48026200|48026900,4,4,3475794.4,347579440.0,4506360924,False,7.160768652575065
2017,C17,17121470,"Graphic paper, paperboard : mechanical fibres > 10 %",PRODQNT,4800000000,4800000000,KG,:R,48026115|48026180|48026200|48026900,4,4,4211687.7,421168770.0,4800000000,False,8.066561119800769
2018,C17,17121470,"Graphic paper, paperboard : mechanical fibres > 10 %",PRODQNT,3938067205,3938067205,KG,:R,48026115|48026180|48026200|48026900,4,4,4260787.64,426078763.99999994,3938067205,False,9.763164821401048
2019,C17,17121470,"Graphic paper, paperboard : mechanical fibres > 10 %",PRODQNT,3476665827,3476665827,KG,,48026115|48026180|48026200|48026900,4,4,3985268.6999999997,398526870.0,3476665827,False,10.284052979056282
2020,C17,17121470,"Graphic paper, paperboard : mechanical fibres > 10 %",PRODQNT,3003047729,3003047729,KG,,48026115|48026180|48026200|48026900,4,4,3756702.65,375670265.0,3003047729,False,11.118722120849485
2021,C17,17121470,"Graphic paper, paperboard : mechanical fibres > 10 %",PRODQNT,3220000000,3220000000,KG,:R,48026115|48026180|48026200|48026900,4,4,3381249.06,338124906.0,3220000000,False,9.5028959053637
2022,C17,17121470,"Graphic paper, paperboard : mechanical fibres > 10 %",PRODQNT,2400000000,2400000000,KG,:R,48026115|48026180|48026200|48026900,4,4,3704631.8600000003,370463186.00000006,2400000000,False,13.371886256134504
2008,C17,17122030,"Cellulose wadding for household or sanitary purposes, in rolls of a width > 36 cm or in rectangular (including square sheets) with at least one side > 36 cm in an unfolded state",PRODQNT,803594336,803594336,KG,,48030010,1,1,114675.24,11467524.0,803594336,False,1.4069513693107907
2009,C17,17122030,"Cellulose wadding for household or sanitary purposes, in rolls of a width > 36 cm or in rectangular (including square sheets) with at least one side > 36 cm in an unfolded state",PRODQNT,567860203,567860203,KG,:R,48030010,1,1,88270.56,8827056.0,567860203,False,1.5306486942864816
2010,C17,17122030,"Cellulose wadding for household or sanitary purposes, in rolls of a width > 36 cm or in rectangular (including square sheets) with at least one side > 36 cm in an unfolded state",PRODQNT,644626618,644626618,KG,:R,48030010,1,1,120374.64,12037464.0,644626618,False,1.8331235604264404
2011,C17,17122030,"Cellulose wadding for household or sanitary purposes, in rolls of a width > 36 cm or in rectangular (including square sheets) with at least one side > 36 cm in an unfolded state",PRODQNT,667889429,667889429,KG,:R,48030010,1,1,124137.47,12413747.0,667889429,False,1.8247374755751544
2012,C17,17122030,"Cellulose wadding for household or sanitary purposes, in rolls of a width > 36 cm or in rectangular (including square sheets) with at least one side > 36 cm in an unfolded state",PRODQNT,730966847,730966847,KG,:R,48030010,1,1,80040.82,8004082.000000001,730966847,False,1.0831389552538138
2013,C17,17122030,"Cellulose wadding for household or sanitary purposes, in rolls of a width > 36 cm or in rectangular (including square sheets) with at least one side > 36 cm in an unfolded state",PRODQNT,686931652,686931652,KG,:R,48030010,1,1,61239.25,6123925.0,686931652,False,0.8836123975090673
2014,C17,17122030,"Cellulose wadding for household or sanitary purposes, in rolls of a width > 36 cm or in rectangular (including square sheets) with at least one side > 36 cm in an unfolded state",PRODQNT,754227064,754227064,KG,,48030010,1,1,64620.13,6462013.0,754227064,False,0.8494946483896995
